timestamp,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,latency_ms,jitter_ms,packet_loss_udp_percent,poll_interval_s,tx_retries_per_s,tx_failed_per_s,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,scenario,throughput_score,occupancy_score,retry_failed_score,jitter_score,congestion_score,label
2026-08-22 19:23:08,49.59,48.28,instantaneous_fallback,59.75,58.0,,5.0,2329.0,2329.0,-54.5,2,0.5,-54.88,stress_load,0.3306,0.4828,0.7453,0.1933,0.4614,1
2026-08-22 19:23:13,55.17,0.0,delta,88.667,54.0,,5.0,2324.6,2369.4,-54.5,2,0.0,-54.8,stress_load,0.3678,0.0,0.751,0.18,0.2508,1
2026-08-22 19:23:19,56.95,50.0,instantaneous_fallback,61.5,152.0,,6.0,2416.67,2457.33,-57.0,2,-2.5,-55.2,stress_load,0.3797,0.5,0.7798,0.5067,0.5329,2
2026-08-22 19:23:23,52.2,53.33,instantaneous_fallback,97.25,107.0,,4.0,2213.5,2276.5,-56.5,2,0.5,-55.5,stress_load,0.348,0.5333,0.7184,0.3567,0.5068,2
2026-08-22 19:23:27,47.04,53.33,instantaneous_fallback,76.75,60.0,,4.0,2819.5,2854.5,-56.0,2,0.5,-55.7,stress_load,0.3136,0.5333,0.9078,0.2,0.5143,2
2026-08-22 19:23:32,48.12,60.0,instantaneous_fallback,82.75,197.0,,5.0,1369.2,1429.2,-58.0,2,-2.0,-56.4,stress_load,0.3208,0.6,0.4477,0.6567,0.5222,2
2026-08-22 19:35:01,0.0,33.33,instantaneous,105.0,199.0,,0.0,0.0,0.0,-56.5,2,0.0,-56.5,low_load,0.0,0.3333,0.0,0.6633,0.2495,0
2026-08-22 19:35:05,14.45,50.0,instantaneous_fallback,95.0,162.0,,4.0,834.0,848.0,-57.0,2,-0.5,-56.75,low_load,0.0963,0.5,0.2691,0.54,0.3791,1
2026-08-22 19:35:11,39.49,33.33,instantaneous_fallback,185.0,225.0,,6.0,890.0,926.0,-53.5,2,3.5,-55.67,low_load,0.2633,0.3333,0.2906,0.75,0.3733,1
2026-08-22 19:35:19,52.33,46.67,instantaneous_fallback,120.0,198.0,,8.0,1618.25,1636.25,-54.0,2,-0.5,-55.25,low_load,0.3489,0.4667,0.5207,0.66,0.4829,1
2026-08-22 19:35:24,45.33,53.33,instantaneous_fallback,76.25,73.0,,5.0,2147.6,2243.6,-55.0,2,-1.0,-55.2,low_load,0.3022,0.5333,0.7026,0.2433,0.4774,1
